property_label,domain_label,range_label,parent_labels,skos:definition,skos:example
affects,FailureCause,PCB,characteristic of,"Relates a FailureCause (e.g., parameter excursion, environmental condition, machine state) to a PCB unit or lot whose qualities or behavior are altered as a consequence. Use when the cause has process‑level provenance and the board is the bearer of the effect.",FailureCause: ThermalGradientAcrossBoard (derived from reflow oven thermocouple array and PLC logs) affects PCB Lot L2025‑W45‑P12 (panels observed with skew/tombstoning events).
corrects,CorrectiveAction,FailureCause,,"Links a CorrectiveAction specification to the FailureCause it is designed to eliminate or mitigate. The action targets the causal mechanism, not only the observed symptom.",CorrectiveAction: ReflowProfileRetune (reduce peak to 245 °C; TAL 70–80 s per IPC‑7530 profile) corrects FailureCause: PeakReflowTemperature (excess peak detected by inline thermocouples and oven controller logs).
defectOccursOn,Defect,PCB,inheres in,Associates a PCB instance with a Defect that inheres in that board. This is the placement relation used when inspection or test confirms the defect on a specific unit/panel.,PCB Unit U‑000123 defectOccursOn SolderBridging between pads of device U1 (defect confirmed by post‑reflow AOI image and ICT continuity test).
hasAssessmentInput,ConformanceAssessment,information content entity,used,"Connects a ConformanceAssessment activity to any Information Content Entity used as evidence—including SPI/AOI datasets, X‑ray images, MES/ERP travelers, SPC charts, machine/PLC logs, and sensor streams.","ConformanceAssessment: COA‑PCB1‑paste_volume_rule hasAssessmentInput SPI_3D_Deposit_Map (CSV+images), Oven_Profile_TCs (JSON), and Printer_Setup_Log (CSV)."
hasDefect,PCB,Defect,bearer of,States that a specific PCB bears a Defect; the defect is realized on that unit as determined by inspection/test.,PCB Lot L2025‑W45‑P12 hasDefect OpenSolderJoint on J3 pin 5 (diagnosed by functional test failure corroborated by X‑ray voiding pattern).
hasObservation,PCB,ParameterObservation,described by,"Links a PCB to a ParameterObservation record that describes a measured attribute of that unit—including numeric value, unit, method, timestamp, and provenance (sensor, inline metrology, machine log, control system).","PCB Unit U‑000123 hasObservation PasteVolume_PadU1_17 = 0.050 mm³ (from 3D‑SPI file; includes camera ID, calibration, and timestamp)."
isAffectedBy,PCB,FailureCause,has characteristic,Inverse of affects. Declares that a PCB’s realized state was influenced by a named FailureCause determined via causal analysis over multi‑modal evidence.,"PCB Panel P‑019 isAffectedBy LowPasteViscosity (inferred from rheometer logs, printer torque telemetry, and increased post‑print spread observed by vision system)."
isAssessmentInputFor,information content entity,ConformanceAssessment,,"Inverse of hasAssessmentInput. Indicates that a data artifact (document, image, log, sensor file) serves as input evidence to a specific ConformanceAssessment activity.",Oven_Profile_TCs_2025‑11‑05.json isAssessmentInputFor COA‑PCB1‑paste_volume_rule (profile used to validate TAL window before rule evaluation).
isCorrectedBy,FailureCause,CorrectiveAction,,"Inverse of corrects. Associates a FailureCause with the CorrectiveAction that addresses the causal mechanism through parameter/spec updates, maintenance, or method change.",FailureCause: LowAreaRatio isCorrectedBy StencilRedesign (increase AAR ≥ 0.66; CAM rev and fab drawing updated).
observationOf,ParameterObservation,PCB,describes,"Inverse of hasObservation. Binds a ParameterObservation to the PCB it describes, preserving traceability from measured value back to unit and its data provenance.",PasteViscosityObs_170Pa·s@25 °C observationOf PCB Lot L2025‑W45 (value computed from rheometer data file with method metadata).
