#,Failure Mode,Failure cause,Related specifications,Automatic‑check rule,Severity,empircal weight,5 M + E category,Physical / chemical failure mechanism,Failure‑cause rule,Nominal / target value,Upper limit,Lower limit,Metric,Rule / procedure violated (if out‑of‑spec)
1,Solder Bridging,Oversized stencil aperture or excessive over-print,Aperture diameter; overprint allowance; Paste volume per aperture,IF (Aperture diameter > 0.36 mm) ∨ (overprint allowance > 15) ∨ (Paste volume per aperture > 0.044 mm³) THEN Flag,9,0.32,Method,"Extra paste volume collapses during reflow and wets two adjacent pads, forming a bridge",Oversized stencil aperture,0.32–0.36 mm Ø;≤ 15 % pad area;0.04 mm³,0.38 mm;15 %,0.30 mm; —,"mm, %, mm³",IPC‑7525B & internal stencil design guideline
2,Solder Bridging,Excess squeegee pressure,Squeegee pressure,IF (Squeegee pressure > 0.33 MPa) THEN Flag,4,0.07,Machine,"Paste is forced under stencil, creating paste smear lines",Excess squeegee pressure,0.30 MPa,0.33 MPa,0.27 MPa,MPa,Printer setup WI‑PRT‑002
3,Solder Bridging,Insufficient squeegee pressure,Squeegee pressure,IF (Squeegee pressure < 0.27 MPa) THEN Flag,3,0.05,Machine,"Incomplete aperture fill, paste remains on stencil & transfers adjacent",Insufficient squeegee pressure,0.30 MPa,0.33 MPa,0.27 MPa,MPa,–
4,Solder Bridging,Residual paste on stencil edge,Residual paste allowed,IF (Residual paste allowed > 5) THEN Flag,4,0.06,Method,Dry flakes fall into next print causing random bridges,Residual paste on stencil edge,< 5 % vol,5 %,—,% vol,Visual inspection WI‑PRT‑003
5,Solder Bridging,Excess squeegee speed,Squeegee speed,IF (Squeegee speed > 84 mm/s) THEN Flag,3,0.04,Machine,"Paste hydro‑planing, inconsistent roll, thin deposit tails",Excess squeegee speed,70 mm s⁻¹,84 mm s⁻¹,56 mm s⁻¹,mm/s,–
6,Solder Bridging,Squeegee angle out of spec,Squeegee angle,IF (Squeegee angle > 65 °) ∨ (Squeegee angle < 55 °) THEN Flag,4,0.06,Machine,High angle (>65°) scrapes paste; low angle (<55°) snow‑ploughs paste,Squeegee angle out of spec,60 °,65 °,55 °,°,–
7,Solder Bridging,Stencil thickness high,Stencil thickness,IF (Stencil thickness > 0.105 mm) THEN Flag,8,0.25,Method,Larger paste brick → solder overflow between pads,Stencil thickness too high,0.100 mm,0.105 mm,0.095 mm,mm,Stencil design doc SD‑PRT‑001
8,Solder Bridging,Low aperture area ratio,Aperture area ratio,IF (Aperture area ratio < 0.66) THEN Flag,7,0.18,Method,"Poor paste release, smearing & “dog‑ear” tails → bridge",Low aperture area ratio,0.66,—,0.66,–,IPC‑7525B §5.3
9,Solder Bridging,Stencil not cleaned every print,Stencil cleaning,IF (Stencil cleaning > 0) THEN Flag,6,0.11,Environment / Method,Dried paste blocks apertures; random smears cause bridges,Stencil not cleaned each print,Every print cycle,—,—,cycle,Work instruction WI‑CLN‑001
10,Solder Bridging,Poor stencil coplanarity,Stencil coplanarity,IF (Stencil coplanarity > 15 µm) THEN Flag,7,0.14,Machine,Gap > 15 µm → underside leakage / slumping,Poor stencil coplanarity,15 µm max,15 µm,—,µm,Printer PM spec
11,Solder Bridging,Paste viscosity low,Paste viscosity,IF (Paste viscosity < 150 Pa·s) THEN Flag,6,0.1,Material,"Paste slumps before reflow, merging deposits",Paste viscosity too low,200 ± 50 Pa·s,250 Pa·s,150 Pa·s,Pa·s,J‑STD‑005 viscosity class
12,Solder Bridging,Particle size distribution large,Particle size distribution,IF (Particle size distribution > 38 µm) THEN Flag,5,0.06,Material,Coarse particles ≥ 38 µm bridge fine‑pitch pads,Particle size too large,29 ± 9 µm,38 µm,20 µm,µm,Paste CoA spec
13,Solder Bridging,Paste open-life expired,Paste open-life time; Paste open-life temp,IF (Paste open-life time > 8h) ∨ (Paste open-life temp > 26 °C) THEN Flag,5,0.08,Material,Solvent evaporation → rheology drop → slump,Paste open‑life exceeded,8 h ± 0 @ 25 °C,—,—,h,Factory SOP: track pot life
14,Solder Bridging,Paste shelf-life expired,paste shelf-life time; Paste shelf-life temp,IF (paste shelf-life time > 6h) ∨ (Paste shelf-life temp > 10 °C) THEN Flag,4,0.04,Material,Flux separation & alloy oxidation → wetting imbalance,Paste shelf‑life expired,6 mo ± 0 @ 10 °C,—,—,months,FIFO / MSD control
15,Solder Bridging,Component BGA misplacement skew,P and P Placement accuracy,IF (P and P Placement accuracy > 40 µm) ∨ (P and P Placement accuracy < -40 µm) THEN Flag,8,0.22,Man / Machine,Ball lands across two pads; reflow joins them,Component placement offset,0±40 µm,+40 µm,–40 µm,µm,Pick‑&‑place program offset
16,Solder Bridging,Pad pitch tight for ball size,BGA pitch;BGA ball diameter;Mask dam width,IF (BGA pitch < 0.95 mm) ∨ (BGA ball diameter > 0.42 mm) ∨ (Mask dam width < 0.10 mm) THEN Flag,9,0.28,Design,Insufficient solder mask dam; molten spheres coalesce,Pad pitch and mask dam inadequate,1.00 ± 0.05mm;0.40 ± 0.02 mm;0.10 ± 0.01 mm,1.05 mm;0.42 mm,0.95 mm;0.38 mm;0.10 mm,mm,Design rule check (DRC)
17,Solder Bridging,Solder mask dam small,Mask dam width,IF (Mask dam width < 0.10 mm) THEN Flag,8,0.2,Design,Flux wicking across mask gap joins solder,Mask dam width too small,0.10 ± 0.01 mm,0.11 mm,0.095 mm,mm,IPC‑SM‑840
18,Solder Bridging,Via-in-pad poorly filled large void,Via‑in‑pad fill,IF (Via‑in‑pad fill > 10) THEN Flag,6,0.09,Design,"Molten solder wicks into via, starves adjacent pad then slumps across",Via‑in‑pad under‑filled,10 % max,10 %,—,% dia,Fab note violation
19,Solder Bridging,Warped Board,Board warpage,IF (Board warpage > 80 µm) THEN Flag,7,0.13,Environment / Machine,Gaps under BGA during reflow cause ball leaning / bridging,Board warpage excessive,< 80 % of 100 µm ⇒ < 80 µm,80 µm,—,µm,IPC‑A‑610 §4.6
20,Solder Bridging,Peak reflow temperature high,Peak zone temp; peak zone time,IF (Peak zone temp > 260 °C) ∨ (peak zone time > 60 s) THEN Flag,6,0.12,Method / Machine,Excessive wetting; solder spreads laterally,Peak reflow temperature too high,255 °C ± 5 °C,260 °C,250 °C,°C,Reflow profile SOP
21,Solder Bridging,Soak time long,Soak zone temp; soak zone time,IF (Soak zone temp > 120 s) ∨ (soak zone time > 215 °C) THEN Flag,5,0.08,Method,Flux fully activates early; metal spreads before surface tension acts,Soak zone time or temp too high,210 °C ± 5 °C; 90 ± 30 s,120 s,60 s,s,–
22,Solder Bridging,Ramp-up rate high,ramp-up zone rate and time,IF (ramp-up zone rate and time > 2 °C/s) THEN Flag,4,0.05,Method,Sudden volatilisation → paste splatter bridging,Ramp‑up rate,2 °C s⁻¹,2 °C s⁻¹,—,°C/s,–
23,Solder Bridging,Oxygen level high,Oxygen level,IF (Oxygen level > 1000) THEN Flag,5,0.07,Environment,"Increased oxidation, uneven wetting, stray solder strings",Oxygen concentration too high,990 ± 10 ppm,1000 ppm,—,ppm,Nitrogen oven spec
24,Solder Bridging,Ambient relative humidity high,Ambient RH,IF (Ambient RH > 50 %) THEN Flag,4,0.06,Environment,Moisture uptake → paste slump / spatter,Ambient relative humidity high,40 ± 10 %,50 %,30 %,%,Facility spec HVAC‑001
25,Solder Bridging,Ionic contamination high,Ionic contamination,IF (Ionic contamination > 1 µg NaCl/cm²) THEN Flag,3,0.03,Environment,"Flux spread during preheat, bridges pads",Ionic contamination high,0.9 ± 0.1 µg NaCl cm²,1 µg cm²,—,µg cm²,Cleanliness test IPC‑TM‑650
26,Solder Bridging,Inadequate preheat (temperature/time low),Preheat zone temp; preheat zone time,IF (Preheat zone temp < 170 °C) ∨ (preheat zone time < 60 s) THEN Flag,5,0.08,Method,Solvents not driven off; paste slumps early,Pre‑heat temp or time too low,175 °C ± 5 °C; 90 ± 30 s,"170 °C, 60 s","°C, s",Reflow profile SOP,
27,Solder Bridging,Cool-down too slow,Cool down zone temp; Cool down zone time,IF (Cool down zone time > 120 s) THEN Flag,4,0.05,Method,Extended dwell in pasty range lets two joints merge,Cool‑down too slow,175 °C ± 5 °C; 90 ± 30 s,200 °C / 120 s,150 °C / 60 s,"°C, s",–
28,Solder Bridging,Stencil aperture mis-registration to pads,Printer placement accuracy,IF (Printer placement accuracy > 25 µm) ∨ (Printer placement accuracy < -25 µm) THEN Flag,7,0.15,Machine,Deposits shift toward neighbouring pad,Stencil‑to‑pad mis‑registration,0 ±25 µm,–,–,µm,Printer alignment spec
29,Solder Bridging,Squeegee blade wear nicks,blade edge condition,"IF (blade edge condition = ""Worn"" ∨ ""Nicked"") THEN Flag",3,0.04,Machine,Local over‑deposition or scooping,Squeegee blade wear or damage,–,–,–,–,PM schedule not met
