level,item,corrective action,disposition,characteristic
defect,NoDefect,No corrective action required. Continue standard process monitoring and control.,Disposition towards no defect,
defect,SolderBridging,Reduce upstream EPV drivers first; verify with AOI and electrical test,,
mechanism,ApertureOverfill,"Reduce bead, raise blade angle, lower pressure; consider thinner foil/aperture reduction",Disposition toward aperture overfill,
mechanism,HighPasteVolumePerAperture,"Target dominant drivers (pressure, angle, bead, viscosity); verify deposit volume/height",Disposition toward excess paste volume per aperture,paste volume per aperture
parameter,LowAreaRatio,Redesign apertures; electropolish; nano-coating; consider foil change,Disposition of aperture area ratio to be too low,aperture area ratio
parameter,HighBeadSizeOfSolderPaste,Reduce bead width/mass; level bead; auto-dispense cadence,Disposition of paste bead width/mass to exceed upper limit,paste roll bead size
parameter,HighStencilThickness,Use thinner foil/step-down; reduce aperture size (home-plate/windowpane); apply nano-coating,Disposition of stencil thickness to be too high for pitch,stencil thickness
parameter,LowSqueegeeSpeed,Raise speed into window; balance with pressure/angle,Disposition of squeegee speed to be too low under adverse angle/pressure,squeegee speed
parameter,LowSqueegeeAngle,Increase angle toward 60–62°; re-tune pressure/speed instead of flattening,Disposition of squeegee blade angle to be too low (flat),squeegee angle
parameter,HighAmbientTemperature,Improve thermal control of the production area; adjust HVAC settings and verify temperature stability at the stencil printing and placement stations.,Disposition of ambient temperature to exceed upper specification limit,ambient temperature
mechanism,UndersideSmear,"Lower pressure, raise angle; improve underside wipe; fix board support/foil flatness",Disposition toward underside smear / paste bleed,
parameter,HighSqueegeePressure,Reduce pressure; verify gasket; improve support,Disposition of squeegee pressure to exceed upper limit,squeegee pressure
parameter,ResidualPasteVolume,Increase wipe frequency; optimize solvent; vac-assist wipe,Disposition of underside wiping to be insufficient,residual paste
mechanism,PostPrintSpread,"Control paste/board temp, humidity, and queue time; refresh bead; verify slump",Disposition toward post‑print spread (slump) before reflow,
parameter,LowPasteViscosity,Cool paste/stencil; refresh bead; check lot; align mixing practice,Disposition of paste viscosity to be below lower limit,paste viscosity
parameter,HighAmbientRh,Dehumidify/condition cell; maintain RH control,Disposition of ambient relative humidity to be out of band,ambient rh
mechanism,ExcessReflowSpreading,"Optimize reflow profile by capping peak temperature, reducing TAL, and balancing thermal gradients across the board",Disposition of solder paste to spread excessively beyond intended pad boundaries during reflow,
parameter,HighPeakReflowTemperature,Tune profile; cap peak,Disposition of peak reflow temperature to exceed upper limit (marginal),peak reflow temperature
parameter,HighTimeAboveLiquidus,Reduce TAL within vendor band,Disposition of time above liquidus to exceed upper limit (marginal),time above liquidus
defect,OpenCircuit,Reduce upstream insufficiency/non-wet drivers; verify with AOI + ICT/functional test,,
mechanism,NonCoalescence,Tune profile; reduce O2; improve surface solderability,Disposition toward non‑wetting / non‑coalescence during reflow,
parameter,LowPeakReflowTemperature,Raise peak within vendor band,Disposition of peak reflow temperature to be below lower limit,peak reflow temperature
mechanism,LowPasteVolumePerAperture,Improve print transfer/release; mitigate starvation sources,Disposition toward insufficient paste volume per aperture,paste volume per aperture
parameter,LowTimeAboveLiquidus,Increase TAL per paste spec,Disposition of time above liquidus to be below lower limit,time above liquidus
mechanism,PoorPasteTransfer,Improve print transfer/release; mitigate starvation sources,Disposition towards poor paste transfer,
parameter,LowStencilThickness,Increase stencil thickness to process-recommended value; validate with SPI,Disposition of stencil thickness to be below lower specification limit,stencil thickness
parameter,HighPasteViscosity,Replace paste or condition paste to nominal viscosity; verify storage and age,Disposition of solder paste viscosity to exceed upper specification limit,paste viscosity
parameter,LowAmbientRh,Increase ambient humidity to recommended range; monitor with environmental sensors,Disposition of ambient humidity to be below lower specification limit,ambient rh
parameter,HighSqueegeeSpeed,Lower speed into window; confirm with SPI,Disposition of squeegee speed to exceed upper limit,squeegee speed
parameter,LowSqueegeePressure,Increase line load to nominal; verify with transducer,Disposition of squeegee pressure to be below lower limit,squeegee pressure
parameter,LowAmbientTemperature,Increase ambient temperature using HVAC control; allow solder paste and boards to equilibrate to room temperature before printing.,Disposition of ambient temperature to be below lower specification limit; potential risk of increased paste viscosity and poor transfer.,ambient temperature
