property_iri,property_label,domain_iri,domain_label,range_iri,range_label,parent_iris,parent_labels,skos:definition,skos:example
https://neurosymbols.ai/ontology/causal-terminology.owl#affects,affects,https://neurosymbols.ai/ontology/causal-terminology.owl#FailureCause,FailureCause,https://neurosymbols.ai/ontology/causal-terminology.owl#PCB,PCB,http://purl.obolibrary.org/obo/RO_0000052,characteristic of,"Relates a failure cause to the PCB it impacts, representing causal influence in process outcome.",Example: 'LowPasteViscosity' affects 'PCB-123' leading to insufficient solder volume.
https://neurosymbols.ai/ontology/causal-terminology.owl#corrects,corrects,https://neurosymbols.ai/ontology/causal-terminology.owl#CorrectiveAction,CorrectiveAction,https://neurosymbols.ai/ontology/causal-terminology.owl#FailureCause,FailureCause,,,Links a corrective action to the failure cause it addresses in semiconductor manufacturing.,Example: 'AdjustStencilThickness' corrects 'ExcessReflowSpreading' observed in lot L230.
https://neurosymbols.ai/ontology/causal-terminology.owl#defectOccursOn,defectOccursOn,https://neurosymbols.ai/ontology/causal-terminology.owl#PCB,PCB,https://neurosymbols.ai/ontology/causal-terminology.owl#Defect,Defect,http://purl.obolibrary.org/obo/BFO_0000197,inheres in,Indicates the PCB on which a specific defect is observed during inspection.,Example: 'SolderBridging' defectOccursOn 'PCB-045' during AOI inspection.
https://neurosymbols.ai/ontology/causal-terminology.owl#hasAssessmentInput,hasAssessmentInput,https://neurosymbols.ai/ontology/causal-terminology.owl#ConformanceAssessment,ConformanceAssessment,https://spec.industrialontologies.org/ontology/core/Core/InformationContentEntity,information content entity,http://www.w3.org/ns/prov#used,used,Connects a conformance assessment to the measurement or data it uses as input.,Example: 'AOIConformanceCheck' hasAssessmentInput 'PasteVolumeReport-09'.
https://neurosymbols.ai/ontology/causal-terminology.owl#hasDefect,hasDefect,https://neurosymbols.ai/ontology/causal-terminology.owl#PCB,PCB,https://neurosymbols.ai/ontology/causal-terminology.owl#Defect,Defect,http://purl.obolibrary.org/obo/BFO_0000196,bearer of,Denotes that a PCB exhibits one or more defects detected during inspection.,Example: 'PCB-045' hasDefect 'SolderBridging'.
https://neurosymbols.ai/ontology/causal-terminology.owl#hasObservation,hasObservation,https://neurosymbols.ai/ontology/causal-terminology.owl#PCB,PCB,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterObservation,ParameterObservation,https://spec.industrialontologies.org/ontology/core/Core/describedBy,described by,"Links a PCB to its associated parameter observations (e.g., stencil thickness, aperture ratio).",Example: 'PCB-045' hasObservation 'StencilThicknessObs_125um'.
https://neurosymbols.ai/ontology/causal-terminology.owl#isAffectedBy,isAffectedBy,https://neurosymbols.ai/ontology/causal-terminology.owl#PCB,PCB,https://neurosymbols.ai/ontology/causal-terminology.owl#FailureCause,FailureCause,http://purl.obolibrary.org/obo/RO_0000053,has characteristic,Relates a PCB to the failure cause influencing its process outcome or quality.,Example: 'PCB-045' isAffectedBy 'ThermalGradientAcrossBoard'.
https://neurosymbols.ai/ontology/causal-terminology.owl#isAssessmentInputFor,isAssessmentInputFor,https://spec.industrialontologies.org/ontology/core/Core/InformationContentEntity,information content entity,https://neurosymbols.ai/ontology/causal-terminology.owl#ConformanceAssessment,ConformanceAssessment,,,Shows that an information content entity serves as input to an assessment activity.,Example: 'PasteInspectionData-01' isAssessmentInputFor 'ConformanceAssessment-Run3'.
https://neurosymbols.ai/ontology/causal-terminology.owl#isCorrectedBy,isCorrectedBy,https://neurosymbols.ai/ontology/causal-terminology.owl#FailureCause,FailureCause,https://neurosymbols.ai/ontology/causal-terminology.owl#CorrectiveAction,CorrectiveAction,,,Indicates that a failure cause is mitigated or corrected by a corrective action.,Example: 'ExcessPasteVolumePerAperture' isCorrectedBy 'ReducePrintPressureAction'.
https://neurosymbols.ai/ontology/causal-terminology.owl#observationOf,observationOf,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterObservation,ParameterObservation,https://neurosymbols.ai/ontology/causal-terminology.owl#PCB,PCB,https://spec.industrialontologies.org/ontology/core/Core/describes,describes,Links a parameter observation to the PCB it describes or measures.,Example: 'StencilThicknessObs_120um' observationOf 'PCB-045'.
