,,,,,,,,,
,Specification,"Tolerance / Limit
(nominal ± tol. or min/max)",Category,InheresIn,Process Category,PPSC,"Relevant Standard(s)
(IPC, J-STD or similar)","Typical Spec Doc 
(in an EMS shop)","Shop Floor Instrument / Sensor
that would record or verify"
1,Stencil thickness,100 um ± 5 um,bfo:Quality,Stencil,,PPSC_61,IPC-7525,Stencil Fabrication Drawing,Micrometer
2,Aperture diameter,0.34 mm ± 0.02 mm,bfo:Quality,Stencil,,PPSC_61,IPC-7525,Stencil Fabrication Drawing,Optical aperture gauge
3,Paste volume per aperture,0.04 mm³ ± 0.004 mm³,iof:ProcessCharacteristic,,SolderPrintingProcess,PPSC_61,IPC-7525,Print Process Specification,SPI machine
4,Paste roll bead size,4 mm³ ± 0.4 mm³,bfo:Quality,Solder Paste,SolderPrintingProcess,PPSC_61,IPC-7525,Print Process Specification,Vision bead profiler
5,Residual paste,5 ± 0.5 % vol.,iof:ProcessCharacteristic,,SolderPrintingProcess,PPSC_61,IPC-7525,Print Process Specification,SPI underside‐scan
6,Squeegee pressure,0.30 MPa ± 0.03 MPa,iof:ProcessCharacteristic,,SolderPrintingProcess,PPSC_61,IPC-7525,Print Process Specification,Inline pressure transducer
7,Squeegee speed,70 mm/s ± 14 mm/s,iof:ProcessCharacteristic,,SolderPrintingProcess,PPSC_61,IPC-7525,Print Process Specification,Motor encoder
8,Squeegee angle,60 ° ± 5 °,iof:ProcessCharacteristic,,SolderPrintingProcess,PPSC_61,IPC-7525,Print Process Specification,Angle gauge / camera
9,Aperture area ratio,≥ 0.66,bfo:Quality,Stencil,,PPSC_61,IPC-7525,Stencil Fabrication Drawing,CAM calculation
10,Paste viscosity,200 ± 50 Pa·s,bfo:Quality,Solder Paste,,PPSC_61,J-STD-005,Solder Paste Material Spec Sheet,Rheometer
11,Particle size distribution,29 ± 9 µm,bfo:Quality,Solder Paste,,PPSC_61,J-STD-005,Solder Paste Material Spec Sheet,Laser diffraction analyzer
12,Paste shelf-life time,<= 6months,iof:ProcessCharacteristic,,SolderPrintingProcess,PPSC_61,,,
13,Paste shelf-life temp,< 10 °C,bfo:Quality,Solder Paste,,PPSC_61,J-STD-005,Material Traceability Record,ERP / barcode system
14,Paste open-life time,<= 8h,iof:ProcessCharacteristic,,SolderPrintingProcess,PPSC_61,,,
15,Paste open-life temp,25 °C ± 1°C,bfo:Quality,Solder Paste,,PPSC_61,J-STD-005,Material Handling Procedure,Shop log / MES
16,Overprint allowance,≤ 15 % pad area,iof:ProcessCharacteristic,,SolderPrintingInspectionProcess,PPSC_61,IPC-7525,Print Process Specification,SPI volume map
17,Stencil coplanarity,≤ 15 µm across aperture area,bfo:Quality,Stencil,,PPSC_61,IPC-7525 appendix B,Stencil QA Procedure,3D coplanarity gauge
18,P and P Placement accuracy,0 ± 40 µm,iof:ProcessCharacteristic,,ComponentPlacementProcess,PPSC_61,IPC-7095,Pick-and-Place Process Spec.,Vision alignment camera
19,Preheat zone temp,175 °C ± 5 °C,bfo:Quality,Solder Paste,ReflowSolderingProcess,PPSC_61,IPC-1782,Reflow Profile Spec.,Thermal profiler
20,Preheat zone time,90 ± 30 s,iof:ProcessCharacteristic,,ReflowSolderingProcess,PPSC_61,,,
21,Soak zone temp,210 °C ± 5 °C,bfo:Quality,Solder Paste,ReflowSolderingProcess,PPSC_61,IPC-1782,Reflow Profile Spec.,Thermal profiler
22,Soak zone time,90 ± 30 s,iof:ProcessCharacteristic,,ReflowSolderingProcess,PPSC_61,,,
23,Ramp-up zone rate and time,≤ 2 °C/s,iof:ProcessCharacteristic,,ReflowSolderingProcess,PPSC_61,IPC-1782,Reflow Profile Spec.,Thermal profiler
24,Peak reflow temperature,255 °C ± 5 °C,bfo:Quality,Solder Paste,ReflowSolderingProcess,PPSC_61,IPC-1782,Reflow Profile Spec.,Thermal profiler
25,Peak zone time,45 ± 15 s,iof:ProcessCharacteristic,,ReflowSolderingProcess,PPSC_61,,,
26,Cool down zone temp,175 °C ± 5 °C,bfo:Quality,Solder Paste,ReflowSolderingProcess,PPSC_61,IPC-1782,Reflow Profile Spec.,Thermal profiler
27,Cool down zone time,90 ± 30 s,iof:ProcessCharacteristic,,ReflowSolderingProcess,PPSC_61,,,
28,Oxygen level,990 ± 10 ppm,iof:ProcessCharacteristic,,ReflowSolderingProcess,PPSC_61,IPC-7525,Reflow Process Control,O₂ sensor in oven
29,Ambient RH,40 ± 10 %,bfo:Quality,Environment,,PPSC_61,IPC-7711,Environmental Control Procedure,RH / T datalogger
30,Ionic contamination,0.9 ± 0.1 µg NaCl cm²,bfo:Quality,Solder Paste,,PPSC_61,IPC-TM-650 2.3.25,Cleaning Validation Report,Ionograph
31,Board warpage,< 80 µm,bfo:Quality,PCB,ReflowSolderingProcess,PPSC_61,IPC-6012,PCB QA Procedure,Shadow MOI or laser profiler
32,metal load,80 ± 10  wt %,bfo:Quality,Solder Paste,,PPSC_61,,,
33,Time Above Liquidus,60 ± 15 s,iof:ProcessCharacteristic,,ReflowSolderingProcess,PPSC_61,,,
34,Ambient Temperature,23 ± 3 s,bfo:Quality,Environment,SolderPrintingProcess,PPSC_62,,,
