,,Update this for Chosen Digicom (& Kaynes) Product,Update this to revelant Standards,Name of the doc where we find this specification,"Name of the machine/sensor/log, etc where we can get this data"
,Specification,"Tolerance / Limit
(nominal ± tol. or min/max)","Relevant Standard(s)
(IPC, J-STD or similar)","Typical Spec Doc 
(in an EMS shop)","Shop Floor Instrument / Sensor
that would record or verify"
1,BGA pitch,1.00 mm ± 0.05 mm,IPC-7351B,PCB Fabrication Drawing,CAD‐DRC; AOI measurements
2,BGA ball diameter,0.40 mm ± 0.02 mm,IPC-7095,PCB Fabrication Drawing,Optical microscope; AOI
3,Solder ball height,0.40 mm ± 0.02 mm,IPC-7095,PCB Fabrication Drawing,3D microscope; SPI
4,Number of balls,100 ± 0,IPC-7095,PCB Fabrication Drawing,Pick‐and‐place feeder count
5,Solder alloy,SAC305 (Sn–3Ag–0.5Cu),J-STD-006C,Solder Paste Material Spec Sheet,Supplier C of C
6,Stencil thickness,0.100 mm ± 0.005 mm,IPC-7525,Stencil Fabrication Drawing,Micrometer
7,Aperture diameter,0.34 mm ± 0.02 mm,IPC-7525,Stencil Fabrication Drawing,Optical aperture gauge
8,Aperture area ratio,≥ 0.66,IPC-7525,Stencil Fabrication Drawing,CAM calculation
9,Paste volume per aperture,0.04 mm³ ± 0.004 mm³,IPC-7525,Print Process Specification,SPI machine
10,Paste roll bead size,4 mm³ ± 0.4 mm³,IPC-7525,Print Process Specification,Vision bead profiler
11,Residual paste allowed,5 ± 0.5 % vol.,IPC-7525,Print Process Specification,SPI underside‐scan
12,Squeegee pressure,0.30 MPa ± 0.03 MPa,IPC-7525,Print Process Specification,Inline pressure transducer
13,Squeegee speed,70 mm/s ± 14 mm/s,IPC-7525,Print Process Specification,Motor encoder
14,Squeegee angle,60 ° ± 5 °,IPC-7525,Print Process Specification,Angle gauge / camera
15,Stencil coplanarity,≤ 15 µm across aperture area,IPC-7525 appendix B,Stencil QA Procedure,3D coplanarity gauge
16,P and P Placement accuracy,0±40 µm,IPC-7095,Pick-and-Place Process Spec.,Vision alignment camera
17,Paste viscosity,200 ± 50 Pa·s,J-STD-005,Solder Paste Material Spec Sheet,Rheometer
18,Particle size distribution,29 ± 9 µm,J-STD-005,Solder Paste Material Spec Sheet,Laser diffraction analyzer
19,Paste shelf-life (unopened),6 months @ <10 °C,J-STD-005,Material Traceability Record,ERP / barcode system
20,Open-life (pot life),8 h @ 25 °C,J-STD-005,Material Handling Procedure,Shop log / MES
21,Mask dam width,0.10 ± 0.01 mm,IPC-6012,PCB Fabrication Drawing,CAM DRC; AOI
22,Via-in-pad fill,≤ 10 % via diameter,IPC-6012,PCB Fabrication Drawing,X-ray inspection
23,Pad diameter (BGA),0.45–0.50 mm,IPC-7351B,PCB Fabrication Drawing,CAM DRC; AOI
24,Overprint allowance,≤ 15 % pad area,IPC-7525,Print Process Specification,SPI volume map
25,Preheat zone temp,175 °C ± 5 °C,IPC-1782,Reflow Profile Spec.,Thermal profiler
26,Preheat zone time,90 ± 30 s,,,
27,Soak zone temp,210 °C ± 5 °C,IPC-1782,Reflow Profile Spec.,Thermal profiler
28,Soak zone time,90 ± 30 s,,,
"29,30",Ramp-up zone rate and time,≤ 2 °C/s,IPC-1782,Reflow Profile Spec.,Thermal profiler
31,Peak zone temp,255 °C ± 5 °C,IPC-1782,Reflow Profile Spec.,Thermal profiler
32,Peak zone time,45 ± 15 s,,,
33,Cool down zone temp,175 °C ± 5 °C,IPC-1782,Reflow Profile Spec.,Thermal profiler
34,Cool down zone time,90 ± 30 s,,,
35,Oxygen level,990 ± 10 ppm,IPC-7525,Reflow Process Control,O₂ sensor in oven
36,Stencil cleaning,Every print cycle,IPC-7525,Cleaning Procedure,Operator log; MES
37,Ambient RH,40 ± 10 %,IPC-7711,Environmental Control Procedure,RH / T datalogger
38,Ionic contamination,0.9 ± 0.1 µg NaCl cm²,IPC-TM-650 2.3.25,Cleaning Validation Report,Ionograph
39,Board warpage,< 80 % of bridging threshold (> 100 µm),IPC-6012,PCB QA Procedure,Shadow MOI or laser profiler
